,Mass,R_eff,R_eff_obs,R_50,R_50_obs,R_90,R_90_obs,aspect_ratio,aspect_ratio_obs,effective dimension,effective dimension_obs,sphericity,sphericity_obs,f_n100,f_n1000,SFR,Z_mean,B_mean,B_mean_obs,T_mean,T_50,T_90,sigma_1D,sigma_1D_obs,Mach,Mach_obs,f_atomic,R_galactic,alpha,alpha_thermal,alpha_turb,alpha_magnetic,alpha_obs,alpha_thermal_obs,alpha_turb_obs,alpha_magnetic_obs
0,787859.0985236452,45.10964651962051,38.32723344338511,36.63792469307809,29.131069897754003,73.67471187749851,59.26850022234747,2.1483411138377853,1.666911220464782,2.426275784701506,3.639413677052259,0.8988513650055998,0.9662439073450253,0.49167914619082104,0.023295980198772815,0.043489125657243825,1.122776799169845,1.7184345455716868e-09,1.3756998041020055e-09,43.89087827434762,32.44257501413373,75.47622285331016,4175.046357550533,2832.061265251673,8.855963292469944,5.151394664605322,0.0033913266824712185,19579.4254732498,1.5198574242209153,0.011105249143190842,1.188798253196801,0.31995392188092353,0.6279171847973791,0.012236629683479295,0.5412030238713166,0.07447753124258329
1,818319.2113349272,48.77260185359486,53.90864893128743,45.54177472546699,45.274075259504556,67.96212912744095,81.68631521645017,2.1488622714850196,3.773980017121064,2.3898814857144415,3.584822228571662,0.9034162270272175,0.8056539152727288,0.35705044424807186,1e-10,1e-10,1.4325664777281155,2.8700665811711346e-09,1.125098031538201e-09,93.18023338573227,46.770490646538065,111.29928613361449,4953.6977079883945,4335.884704750483,8.573994701838664,5.412839426960441,0.009101924692205277,13379.81328946597,2.795428211000459,0.02886057545721394,1.9366654474950764,0.829902188048169,1.9337602836247565,0.03517937529944408,1.7178575994922969,0.18072330883301538
2,396189.75476081896,29.869197486056727,31.378341106115776,27.286886898713792,27.310302836849647,46.37830558166601,49.17598868263216,1.4079483217720317,1.730671974153023,2.5788606520472315,3.8682909780708474,0.9842090202173208,0.9612808034367017,0.2796201678341722,1e-10,1e-10,2.7126840405795924,2.455734252515518e-09,2.147441237757091e-09,70.787981683946,25.93628620987115,159.8230156532434,5891.027910139261,3569.324815089198,12.610633683163691,5.112291649925289,0.013679053133493935,1653.567636231949,5.609833039999465,0.03259052174127084,4.131478217817033,1.445764300441161,1.7541057136656824,0.03213030866172789,1.3995708577501023,0.3224045472538521
3,298456.54308661737,30.19980925421632,33.86466506189593,30.24581398290697,27.765540492842955,43.464924595660854,53.231097012260136,1.8248533854573339,2.4851198244146033,2.528019188417413,3.792028782626119,0.9353923353609592,0.8994683575550376,0.07041380493810379,1e-10,1e-10,1.161982961731752,1.666559541375015e-09,1.7219307395766104e-09,103.32893195031907,80.03325172487085,290.134194709425,4851.800491918153,4916.488358017515,6.738610155968413,5.82845382680487,0.010562825224228134,18786.590952299404,4.838256549220978,0.06284630187586193,3.8098652837555154,0.9655449635896011,4.367031104945406,0.06719179593597238,3.8042733905448864,0.49556591846454706
4,728158.613060361,38.01751073504916,41.89371207896496,33.48679941818963,37.30110065749999,55.18770655773092,59.14557914059731,1.4006906629930402,1.4186571605638698,2.559747428978608,3.839621143467912,0.9850557642487978,0.98392935620904,0.43795749919035026,1e-10,1e-10,1.4758487971715548,2.033216408445143e-09,1.6113587940036606e-09,62.440299666730915,38.95258001607698,114.29658000906731,4536.333691909244,5831.313434847938,8.213158697205396,8.892895962582553,0.008501038654188053,12946.0104116201,2.0600522488824913,0.01712846764387003,1.4977991536394957,0.5451246275991253,2.9049792116967748,0.020588109057962465,2.7136362545000736,0.17075484813873884
5,458599.97085960966,35.236863925746405,29.529223975953666,30.528602346833527,24.67253483638119,51.73951880784838,46.91448692922535,1.5123583135110397,1.4865125682253677,2.602449281045684,3.903673921568526,0.9724190419932863,0.9794330424873808,0.12436699518066974,1e-10,1e-10,1.3373113157643768,2.878175462720938e-09,3.1068733484221963e-09,52.18482852738668,41.48428835481419,106.02688454600282,3175.932428748166,3829.4372856984846,7.021102722198844,6.388106479706371,0.0017600898041824076,15668.793263450734,2.981846748613365,0.022848217477043697,1.2075951569526406,1.751403374183681,1.7240256889147467,0.019257100664030104,1.3097365380719497,0.3950320501787668
6,443514.2896816103,31.805976692543606,25.9750133638937,33.73341451492341,21.765737453120206,45.22848450507764,41.645627688744256,1.521264026895361,1.8887435351152395,2.533644300585772,3.800466450878658,0.9750802687939579,0.9485728888055942,0.5208229448927002,1e-10,1e-10,2.366830413722029,1.6241679053516629e-09,1.5772260463422968e-09,447.7455329602768,93.11800931723633,727.4646315305088,16441.604961688055,10145.669064757723,24.623208384703478,5.777957948743553,0.055734463185230565,3771.7688666129498,29.334670415190917,0.24924109649895645,28.523634938437056,0.5617943802549057,8.57736265120235,0.15028237612054646,8.36191129729668,0.06516897778512154
7,484446.68382650154,37.38423233897342,43.38365035582729,37.628502003070494,39.93160092201901,47.876258882469976,56.89891678916877,1.7547802378666855,1.9297567055522704,2.519110931478304,3.7786663972174557,0.9465351000813342,0.945213161838015,0.45320884611917395,1e-10,1e-10,2.4809709243300504,3.04933541443581e-09,2.52159836047311e-09,104.31849908742923,50.891738788472196,222.90501485388197,17507.61255322318,12969.689128850452,27.117193674057607,15.302353029302143,0.008730890007759284,3492.6140672312454,35.20255854352537,0.042571837411394906,33.46266115555381,1.6973255505601637,22.03464501407261,0.05353897625367107,20.894656997199228,1.08644904061971
8,739001.5842789444,38.734701824556694,42.529915345803005,37.27409323685767,35.91717535673469,52.640864734698056,62.965897664894754,1.5502634015952315,1.844861621945669,2.5383564863749877,3.8075347295624815,0.971698018620762,0.9521446418035412,0.28660655470060425,1e-10,1e-10,2.571726940258981,2.7948260999869384e-09,1.8559292856557659e-09,123.52723645693949,61.57813011543876,200.0996131398685,9439.161858462592,13521.249250040397,12.318110727038691,14.660364600587176,0.02372867833216319,3090.2935494038543,8.023133084513441,0.04115529355942918,6.99012049583395,0.9918572951200627,14.868482058166222,0.04074182725994173,14.594149649751532,0.23359058115474848
9,604398.5292530678,34.29287644959152,34.60910411715688,30.897856755575372,29.682716614463704,47.04633218909309,50.004222432231124,1.2522384319719775,1.346262357757774,2.730101393637009,4.095152090455514,0.9928468198065492,0.9883361651355315,0.25684211457813355,1e-10,1e-10,1.9399635649359779,1.9951047205711527e-09,1.4380004519220964e-09,421.43110516084414,210.99142413632546,1136.3778175797263,13059.614104028535,18099.19952159663,13.08355428267973,10.62442388481975,0.05472241192148475,7552.296062342117,16.213782715694386,0.15897309530583717,15.46729672868513,0.5875128917034211,26.248701258906472,0.1382999981591519,26.01846690851776,0.0919343522295585
